Template Title,Template Type,Template ID,Extension
Chief Complaint Section,section,1.3.6.1.4.1.19376.1.5.3.1.1.13.2.1,
Reason for Referral Section (V2),section,1.3.6.1.4.1.19376.1.5.3.1.3.1,2014-06-09
Review of Systems Section,section,1.3.6.1.4.1.19376.1.5.3.1.3.18,
Hospital Discharge Physical Section,section,1.3.6.1.4.1.19376.1.5.3.1.3.26,
Discharge Diet Section (DEPRECATED),section,1.3.6.1.4.1.19376.1.5.3.1.3.33,2014-06-09
History of Present Illness Section,section,1.3.6.1.4.1.19376.1.5.3.1.3.4,
Hospital Course Section,section,1.3.6.1.4.1.19376.1.5.3.1.3.5,
Authorization Activity,entry,2.16.840.1.113883.10.20.1.19,
Estimated Date of Delivery,entry,2.16.840.1.113883.10.20.15.3.1,
Pregnancy Observation,entry,2.16.840.1.113883.10.20.15.3.8,
Procedure Disposition Section,section,2.16.840.1.113883.10.20.18.2.12,
Procedure Estimated Blood Loss Section,section,2.16.840.1.113883.10.20.18.2.9,
Physical Exam Section (V3),section,2.16.840.1.113883.10.20.2.10,2015-08-01
General Status Section,section,2.16.840.1.113883.10.20.2.5,
Objective Section,section,2.16.840.1.113883.10.20.21.2.1,
Subjective Section,section,2.16.840.1.113883.10.20.21.2.2,
Interventions Section (V3),section,2.16.840.1.113883.10.20.21.2.3,2015-08-01
US Realm Header (V3),document,2.16.840.1.113883.10.20.22.1.1,2015-08-01
Unstructured Document (V3),document,2.16.840.1.113883.10.20.22.1.10,2015-08-01
Transfer Summary (V2),document,2.16.840.1.113883.10.20.22.1.13,2015-08-01
Referral Note (V2),document,2.16.840.1.113883.10.20.22.1.14,2015-08-01
Care Plan (V2),document,2.16.840.1.113883.10.20.22.1.15,2015-08-01
Continuity of Care Document (CCD) (V3),document,2.16.840.1.113883.10.20.22.1.2,2015-08-01
History and Physical (V3),document,2.16.840.1.113883.10.20.22.1.3,2015-08-01
Consultation Note (V3),document,2.16.840.1.113883.10.20.22.1.4,2015-08-01
Diagnostic Imaging Report (V3),document,2.16.840.1.113883.10.20.22.1.5,2015-08-01
Procedure Note (V3),document,2.16.840.1.113883.10.20.22.1.6,2015-08-01
Operative Note (V3),document,2.16.840.1.113883.10.20.22.1.7,2015-08-01
Discharge Summary (V3),document,2.16.840.1.113883.10.20.22.1.8,2015-08-01
Progress Note (V3),document,2.16.840.1.113883.10.20.22.1.9,2015-08-01
Medications Section (entries optional) (V2),section,2.16.840.1.113883.10.20.22.2.1,2015-08-01
Medications Section (entries optional) (V2),section,2.16.840.1.113883.10.20.22.2.1,2014-06-09
Medications Section (entries required) (V2),section,2.16.840.1.113883.10.20.22.2.1.1,2014-06-09
Plan of Treatment Section (V2),section,2.16.840.1.113883.10.20.22.2.10,2014-06-09
Discharge Medications Section (entries optional) (V3),section,2.16.840.1.113883.10.20.22.2.11,2015-08-01
Discharge Medications Section (entries required) (V3),section,2.16.840.1.113883.10.20.22.2.11.1,2015-08-01
Reason for Visit Section,section,2.16.840.1.113883.10.20.22.2.12,
Chief Complaint and Reason for Visit Section,section,2.16.840.1.113883.10.20.22.2.13,
Functional Status Section (V2),section,2.16.840.1.113883.10.20.22.2.14,2014-06-09
Family History Section (V3),section,2.16.840.1.113883.10.20.22.2.15,2015-08-01
Hospital Discharge Studies Summary Section,section,2.16.840.1.113883.10.20.22.2.16,
Social History Section (V3),section,2.16.840.1.113883.10.20.22.2.17,2015-08-01
Payers Section (V3),section,2.16.840.1.113883.10.20.22.2.18,2015-08-01
Immunizations Section (entries optional) (V3),section,2.16.840.1.113883.10.20.22.2.2,2015-08-01
Immunizations Section (entries required) (V3),section,2.16.840.1.113883.10.20.22.2.2.1,2015-08-01
History of Past Illness Section (V3),section,2.16.840.1.113883.10.20.22.2.20,2015-08-01
Advance Directives Section (entries optional) (V3),section,2.16.840.1.113883.10.20.22.2.21,2015-08-01
Advance Directives Section (entries required) (V3),section,2.16.840.1.113883.10.20.22.2.21.1,2015-08-01
Encounters Section (entries optional) (V3),section,2.16.840.1.113883.10.20.22.2.22,2015-08-01
Encounters Section (entries required) (V3),section,2.16.840.1.113883.10.20.22.2.22.1,2015-08-01
Medical Equipment Section (V2),section,2.16.840.1.113883.10.20.22.2.23,2014-06-09
Discharge Diagnosis Section (V3),section,2.16.840.1.113883.10.20.22.2.24,2015-08-01
Anesthesia Section (V2),section,2.16.840.1.113883.10.20.22.2.25,2014-06-09
Surgery Description Section (DEPRECATED),section,2.16.840.1.113883.10.20.22.2.26,2014-06-09
Procedure Description Section,section,2.16.840.1.113883.10.20.22.2.27,
Procedure Findings Section (V3),section,2.16.840.1.113883.10.20.22.2.28,2015-08-01
Procedure Indications Section (V2),section,2.16.840.1.113883.10.20.22.2.29,2014-06-09
Results Section (entries optional) (V3),section,2.16.840.1.113883.10.20.22.2.3,2015-08-01
Results Section (entries required) (V3),section,2.16.840.1.113883.10.20.22.2.3.1,2015-08-01
Planned Procedure Section (V2),section,2.16.840.1.113883.10.20.22.2.30,2014-06-09
Procedure Specimens Taken Section,section,2.16.840.1.113883.10.20.22.2.31,
Implants Section (DEPRECATED),section,2.16.840.1.113883.10.20.22.2.33,2014-06-09
Preoperative Diagnosis Section (V3),section,2.16.840.1.113883.10.20.22.2.34,2015-08-01
Postoperative Diagnosis Section,section,2.16.840.1.113883.10.20.22.2.35,
Postprocedure Diagnosis Section (V3),section,2.16.840.1.113883.10.20.22.2.36,2015-08-01
Complications Section (V3),section,2.16.840.1.113883.10.20.22.2.37,2015-08-01
Medications Administered Section (V2),section,2.16.840.1.113883.10.20.22.2.38,2014-06-09
Medical (General) History Section,section,2.16.840.1.113883.10.20.22.2.39,
Vital Signs Section (entries optional) (V3),section,2.16.840.1.113883.10.20.22.2.4,2015-08-01
Vital Signs Section (entries required) (V3),section,2.16.840.1.113883.10.20.22.2.4.1,2015-08-01
Procedure Implants Section,section,2.16.840.1.113883.10.20.22.2.40,
Hospital Discharge Instructions Section,section,2.16.840.1.113883.10.20.22.2.41,
Hospital Consultations Section,section,2.16.840.1.113883.10.20.22.2.42,
Admission Diagnosis Section (V3),section,2.16.840.1.113883.10.20.22.2.43,2015-08-01
Admission Medications Section (entries optional) (V3),section,2.16.840.1.113883.10.20.22.2.44,2015-08-01
Instructions Section (V2),section,2.16.840.1.113883.10.20.22.2.45,2014-06-09
Problem Section (entries optional) (V3),section,2.16.840.1.113883.10.20.22.2.5,2015-08-01
Problem Section (entries required) (V3),section,2.16.840.1.113883.10.20.22.2.5.1,2015-08-01
Mental Status Section (V2),section,2.16.840.1.113883.10.20.22.2.56,2015-08-01
Nutrition Section,section,2.16.840.1.113883.10.20.22.2.57,
Health Concerns Section (V2),section,2.16.840.1.113883.10.20.22.2.58,2015-08-01
Allergies and Intolerances Section (entries optional) (V3),section,2.16.840.1.113883.10.20.22.2.6,2015-08-01
Allergies and Intolerances Section (entries required) (V3),section,2.16.840.1.113883.10.20.22.2.6.1,2015-08-01
Goals Section,section,2.16.840.1.113883.10.20.22.2.60,
